scan,Q,dQ,tau,dtau,dtau%,beta,dbeta,dbeta%,c,dc,dc%,y0,dy0,dy%,redchi2,ID_sample,T,ch2,I_ch2,initial_I,E,theta,fresh,ramp,test,att
GeO2_3_730C_0001_0004,0.14,0.015,0.3151251913948601,0.0419716675418428,13.319045473978392,0.647041403828599,0.0489150537250941,7.5598027321991506,0.0235851044989379,0.0016246456162954,6.888439338348373,1.0013378695049555,6.598263622558275e-06,0.000658944780129,1.1856325994221877,3.0,730.0,4.8671e-06,199.65727,199.65727,9.7,0.19,,heating,,
GeO2_3_730C_0001_0004,0.14,0.015,0.3151251913948601,0.0419716675418428,13.319045473978392,0.647041403828599,0.0489150537250941,7.5598027321991506,0.0235851044989379,0.0016246456162954,6.888439338348373,1.0013378695049555,6.598263622558275e-06,0.000658944780129,1.1856325994221877,3.0,730.0,0.0,,,9.7,0.19,,,,
"GeO2_3_730C_0001_range(4, 8)",0.21,0.01,0.2807034148187283,0.0232139227772841,8.269911070470988,0.7252268729579182,0.0405426216646627,5.590336372851869,0.0215674211829467,0.0009982711007447,4.628606694684984,1.0012561658290646,5.699703385252821e-06,0.0005692552595202,1.003813760032203,3.0,730.0,,,,9.7,0.19,,heating,,
"GeO2_3_730C_0001_range(4, 9)",0.2,0.02,0.2906473101174146,0.0131862887370767,4.536869352670023,0.7565487124031449,0.0248220721767483,3.2809615256500897,0.0220062654775461,0.000575700083307,2.616073517310049,1.0012872896220346,7.4685815250105775e-06,0.0007458979657905,0.9427661578494988,,,,,,,,,,,
"GeO2_3_730C_0001_range(4, 9)",0.21,0.01,0.2817285540639315,0.0204387834842042,7.254778824998391,0.7305396103038341,0.0362360778472183,4.960179754270628,0.021744203348564,0.0008873139574534,4.080691958356085,1.001258353356823,4.985006868629091e-06,0.0004978741852106,0.9963665348798544,,,,,,,,,,,
GeO2_3_730C_Q_0001_0004,0.085,0.01,0.3332249780217821,0.1083533631077803,32.51657896446692,0.5481848922772978,0.0785025207016296,14.320445858241447,0.0251565893716747,0.0037838771591819,15.041296350937062,1.001573083609249,1.4778608422357378e-05,0.0014755396949268,2.25898132979064,3.0,730.0,0.0,,,9.7,0.13,,,,
GeO2_3_730C_Q_0001_0004,0.105,0.01,0.4165022609962543,0.0583726896292596,14.014975450465696,0.7836186007681102,0.0837421076741194,10.686590082475666,0.0209010320487714,0.001725949826268,8.2577253708844,1.0013596192577765,9.061633067078226e-06,0.0009049329424522,1.6239139698519272,3.0,730.0,0.0,,,9.7,0.13,,,,
GeO2_3_730C_Q_0001_0004,0.125,0.01,0.325041571951602,0.0438328987949749,13.485320825823957,0.7369403557669097,0.0688625282478015,9.344382853906623,0.0225614938560497,0.0017203329216239,7.625084281210722,1.001244872464351,8.485475775284727e-06,0.00084749255738,1.159894622277811,3.0,730.0,0.0,,,9.7,0.13,,,,
GeO2_3_730C_Q_0001_0004,0.145,0.01,0.2815157363388763,0.0453899654217593,16.123420314635933,0.6740820676273491,0.0656810179843012,9.7437717362052,0.0234241277888382,0.002009917301386,8.580542761313971,1.0012716772414478,7.993646599516163e-06,0.000798349417167,1.1465488633952938,3.0,730.0,0.0,,,9.7,0.13,,,,
GeO2_3_730C_Q_0001_0005,0.3,0.02,0.2352051199536889,0.027877118775188,11.852258480035196,0.796214026331601,0.0734839914465066,9.229175701044817,0.0190922906251143,0.00135056928124,7.073898610486965,1.0013134622515782,5.18769814102268e-06,0.0005180893233331,1.1551459785895144,3.0,730.0,0.0,,,9.7,0.29,,,,
